uuid,name,userids,locationids
0023dc92_4dac_42c6_8e4a_1d3448cddd58,oyem_equipe_1,e71c9939_0aea_43f6_8810_5a758f3adedf,bb22fa59_cc6e_45a5_b0d0_eeba07fb9aae
0023dc92_4dac_42c6_8e4a_1d3448cddd58,oyem_equipe_1,8f66056c_8bc2_4a71_bde5_0001dfacd197,bb22fa59_cc6e_45a5_b0d0_eeba07fb9aae
0023dc92_4dac_42c6_8e4a_1d3448cddd58,oyem_equipe_1,84d1db3a_db2f_479e_b818_92075eaed338,bb22fa59_cc6e_45a5_b0d0_eeba07fb9aae
0023dc92_4dac_42c6_8e4a_1d3448cddd58,oyem_equipe_1,a8b9b3f2_4bac_4252_a6ce_4c4d338626fb,bb22fa59_cc6e_45a5_b0d0_eeba07fb9aae
07d69b91_6f0a_41e6_8e77_0a955d38ef3e,equipe_n_1,e71c9939_0aea_43f6_8810_5a758f3adedf,ed9a4fc7_bfb5_4764_aced_3ca271d95ddd
07d69b91_6f0a_41e6_8e77_0a955d38ef3e,equipe_n_1,e71c9939_0aea_43f6_8810_5a758f3adedf,508b5bc6_50c8_487d_bfa5_6fc8c31727d6
07d69b91_6f0a_41e6_8e77_0a955d38ef3e,equipe_n_1,5f6aeb11_7159_41e1_b8a2_74d989664cd9,ed9a4fc7_bfb5_4764_aced_3ca271d95ddd
07d69b91_6f0a_41e6_8e77_0a955d38ef3e,equipe_n_1,5f6aeb11_7159_41e1_b8a2_74d989664cd9,508b5bc6_50c8_487d_bfa5_6fc8c31727d6
07d69b91_6f0a_41e6_8e77_0a955d38ef3e,equipe_n_1,1d37cbf4_8e9b_4f4c_91ad_b5b67805eaa6,ed9a4fc7_bfb5_4764_aced_3ca271d95ddd
07d69b91_6f0a_41e6_8e77_0a955d38ef3e,equipe_n_1,1d37cbf4_8e9b_4f4c_91ad_b5b67805eaa6,508b5bc6_50c8_487d_bfa5_6fc8c31727d6
07d69b91_6f0a_41e6_8e77_0a955d38ef3e,equipe_n_1,a0d891e2_4551_48c1_b6f6_e798c60caa28,ed9a4fc7_bfb5_4764_aced_3ca271d95ddd
07d69b91_6f0a_41e6_8e77_0a955d38ef3e,equipe_n_1,a0d891e2_4551_48c1_b6f6_e798c60caa28,508b5bc6_50c8_487d_bfa5_6fc8c31727d6
07d69b91_6f0a_41e6_8e77_0a955d38ef3e,equipe_n_1,6a171940_2af8_4caa_8814_c70ed93788a7,ed9a4fc7_bfb5_4764_aced_3ca271d95ddd
